7d	reserved for non-commercial use	non-commercial
00 01 40	Frontier Design Group, LLC	Frontier Design Group, LLC
00 01 41	Recordare LLC	Recordare LLC
00 01 42	Starr Labs	Starr Labs
00 01 43	Voyager Sound Inc.	Voyager Sound Inc.
00 01 44	Manifold Labs	Manifold Labs
00 01 45	Aviom Inc.	Aviom Inc.
00 01 46	Mixmeister Technology	Mixmeister Technology
00 01 47	Notation Software	Notation Software
00 01 48	Mercurial Communications	Mercurial Communications
00 01 49	Wave Arts	Wave Arts
00 01 4a	Logic Sequencing Devices	Logic Sequencing Devices
00 01 4b	Axess Electronics	Axess Electronics
00 01 4c	Muse Research	Muse Research
00 01 4d	Open Labs	Open Labs
00 01 4e	Guillemot R&D Inc	Guillemot R&D Inc
00 01 4f	Samson Technologies	Samson Technologies
00 01 50	Electronic Theatre Controls	Electronic Theatre Controls
00 01 51	Research in Motion	Research in Motion
00 01 52	Mobileer	Mobileer
00 01 53	Synthogy	Synthogy
00 01 54	Lynx Studio Technology Inc.	Lynx Studio Technology Inc.
00 01 55	Damage Control Engineering LLC	Damage Control Engineering LLC
00 01 56	Yost Engineering, Inc.	Yost Engineering, Inc.
00 01 57	Brooks & Forsman Designs LLC / DrumLite	Brooks & Forsman Designs LLC / DrumLite
00 01 58	Infinite Response	Infinite Response
00 01 59	Garritan Corp	Garritan Corp
00 01 5a	Plogue Art et Technologie, Inc	Plogue Art et Technologie, Inc
00 01 5b	RJM Music Technology	RJM Music Technology
00 01 5c	Custom Solutions Software	Custom Solutions Software
00 01 5d	Sonarcana LLC	Sonarcana LLC
00 01 5e	Centrance	Centrance
00 01 5f	Kesumo LLC	Kesumo LLC
00 01 60	Stanton	Stanton
00 01 61	Livid Instruments	Livid Instruments
00 01 62	First Act / 745 Media	First Act / 745 Media
00 01 63	Pygraphics, Inc.	Pygraphics, Inc.
00 01 64	Panadigm Innovations Ltd	Panadigm Innovations Ltd
00 01 65	Avedis Zildjian Co	Avedis Zildjian Co
00 01 66	Auvital Music Corp	Auvital Music Corp
00 01 67	Inspired Instruments Inc	Inspired Instruments Inc
00 01 68	Chris Grigg Designs	Chris Grigg Designs
00 01 69	Slate Digital LLC	Slate Digital LLC
00 01 70	American Audio/DJ	American Audio/DJ
00 01 71	Mega Control Systems	Mega Control Systems
00 01 72	Kilpatrick Audio	Kilpatrick Audio
00 01 73	iConnectivity	iConnectivity
